                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3462,                 5.4428,                 4.3493,                      0,                      0,                      0,                      0,                   3.38,                 5.3228,                 4.1593,                      0,                      0,                      0
                      2,                 3.4148,                 5.4962,                 4.2351,                      0,                      0,                      0,                      0,                   3.38,                 5.3228,                 4.1592,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.4642,                 5.8217,                 4.2759,                      0,                      0,                      0,                      0,                 3.3795,                 5.3186,                 4.1595,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  3.478,                 5.4969,                 4.1903,                      0,                      0,                      0,                      0,                 3.3796,                 5.3229,                 4.1596,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.3632,                 5.6614,                 4.2616,                      0,                      0,                      0,                      0,                 3.3792,                 5.3234,                 4.1597,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 3.4329,                   5.74,                 4.3291,                      0,                      0,                      0,                      0,                 3.3795,                 5.3209,                   4.16,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.9653,                 5.4999,                 4.4204,                      0,                      0,                      0,                      0,                 3.3787,                 5.3181,                   4.16,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.4138,                 5.5464,                 4.2001,                      0,                      0,                      0,                      0,                 3.3787,                 5.3189,                 4.1603,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.4137,                 5.5397,                 4.2926,                      0,                      0,                      0,                      0,                 3.3787,                 5.3189,                 4.1604,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.3897,                 5.7709,                 4.3128,                      0,                      0,                      0,                      0,                 3.3813,                 5.3237,                 4.1607,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.7378,                 5.6292,                 4.2795,                      0,                      0,                      0,                      0,                 3.3809,                  5.321,                 4.1606,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.2387,                 5.6961,                 4.2338,                      0,                      0,                      0,                      0,                 3.3805,                 5.3224,                 4.1609,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.6754,                 5.7148,                 4.3413,                      0,                      0,                      0,                      0,                 3.3805,                 5.3191,                 4.1608,             1.2584e-05,             1.2584e-05,             1.2584e-05
